,Unnamed: 0,step,loss_x,loss_y,loss_x.1,loss_y.1,loss,mean,stderr
0,0,0,18060.7,13718.0,18067.1,20157.3,11348.1,16270.240000000002,3615.421120422903
1,1,0,18060.7,13718.0,18067.1,20157.3,13052.4,16611.1,3075.352983805273
2,2,0,18060.7,26309.2,18067.1,20157.3,11348.1,18788.480000000003,5358.269424170458
3,3,0,18060.7,26309.2,18067.1,20157.3,13052.4,19129.34,4790.788985438619
4,4,0,14412.8,13718.0,18067.1,20157.3,11348.1,15540.66,3530.863243316002
5,5,0,14412.8,13718.0,18067.1,20157.3,13052.4,15881.52,3078.1866312814755
6,6,0,14412.8,26309.2,18067.1,20157.3,11348.1,18058.9,5718.384425255092
7,7,0,14412.8,26309.2,18067.1,20157.3,13052.4,18399.76,5249.97522975109
8,36,1000,,9376.5,17451.1,14483.7,13894.3,13801.4,3335.376730345964
9,8,1500,29065.3,,,,,29065.3,
10,37,2000,,13811.4,15076.1,13284.7,19566.8,15434.75,2855.430338261934
11,9,2500,13957.1,,,,,13957.1,
12,75,3000,,,27019.2,,,27019.2,
13,38,3500,,9630.8,,13609.2,16168.2,13136.066666666666,3294.281568617555
14,10,4000,12657.8,,12071.4,,18725.1,14484.766666666665,3683.922681508575
15,93,4500,,,,16658.3,,16658.3,
16,12,5000,12300.7,,70.5,,18190.4,10187.2,9242.989542891411
17,11,5000,12300.7,,3871.1,,18190.4,11454.066666666668,7197.095186485541
18,13,5000,12300.7,,1063.0,,18190.4,10518.033333333336,8701.745975569118
19,39,5500,,7470.0,6469.4,10039.0,,7992.8,1841.3312901267927
20,40,6000,,460.8,,,16444.2,8452.5,11301.970526417064
21,41,6500,,7712.6,16674.8,21607.7,,15331.700000000004,7044.24511285631
22,105,7000,,,,,33675.7,33675.7,
23,15,7500,2683.5,11578.8,1183.5,,,5148.599999999999,5618.994930590346
24,14,7500,2683.5,11578.8,13097.6,,,9119.966666666667,5625.634695155146
25,17,7500,50.6,11578.8,1183.5,,,4270.966666666666,6354.068509493215
26,16,7500,50.6,11578.8,13097.6,,,8242.333333333334,7134.778175481935
27,76,8000,,,7198.8,,,7198.8,
28,19,8500,35605.0,19308.6,4540.7,90.9,25974.8,17104.0,14774.30567996344
29,18,8500,35605.0,19308.6,4540.7,5261.7,25974.8,18138.16,13403.054656047629
30,42,9000,,17625.3,,,,17625.3,
31,77,9500,,,10560.2,9294.4,,9927.3,895.0557636259326
32,43,10000,,10334.8,,,24760.2,17547.5,10200.298161328425
33,20,10500,28293.2,18648.7,13220.6,12553.6,,18179.025,7274.350267606952
34,106,11000,,,,,17751.9,17751.9,
35,21,11500,27145.1,,,17699.0,,22422.05,6679.401365766245
36,78,12000,,,21289.0,,,21289.0,
37,44,12500,,17482.7,,17337.2,32227.1,22349.0,8554.994872587591
38,22,13000,37238.4,,22471.0,8993.9,15606.9,21077.55,12097.622140597165
39,79,13500,,,14239.3,,30.5,7134.9,10047.138832523417
40,80,13500,,,14239.3,,0.0,7119.65,10068.705589349604
41,81,13500,,,14239.3,,0.0,7119.65,10068.705589349604
42,82,13500,,,14239.3,,0.0,7119.65,10068.705589349604
43,45,14000,,23868.6,13987.2,17952.6,290.4,14024.7,10016.03994201301
44,46,14000,,23868.6,13987.2,17952.6,782.2,14147.65,9791.756929683252
45,23,14500,49163.7,22387.4,,,292.3,23947.800000000003,24473.03762531329
46,83,15000,,,11673.3,13666.8,110.1,8483.4,7319.673847242102
47,84,15000,,,11673.3,13666.8,400.5,8580.199999999999,7153.609552526612
48,47,15500,,40294.1,,,1573.4,20933.75,27379.66954228995
49,25,16000,34415.8,,18893.8,,1333.5,18214.36666666667,16551.61217414586
50,24,16000,34415.8,,18893.8,,1794.5,18368.033333333336,16317.004209208668
51,94,16500,,,,32486.9,3426.9,17956.9,20548.523061281077
52,27,17000,27782.0,35063.1,22661.2,,3034.6,22135.225,13712.847321733248
53,26,17000,27782.0,35063.1,22661.2,,3217.4,22180.925,13628.015487559684
54,49,17500,,6407.4,,,322.3,3364.85,4302.81547419826
55,48,17500,,6407.4,,,231.7,3319.55,4366.8793485737615
56,50,17500,,6407.4,,,461.0,3434.2,4204.739763647686
57,51,18000,,4766.7,10922.2,27909.6,5868.2,12366.675,10702.940762667364
58,52,18000,,4766.7,3945.0,27909.6,5868.2,10622.375,11551.718410803647
59,28,18500,7289.9,14066.5,,,5553.0,8969.800000000001,4498.496256528397
60,53,19000,,10628.5,9082.6,25931.4,19881.3,16380.95,7954.456592585903
61,85,19500,,,7943.4,,15499.6,11721.5,5343.040260001791
62,29,20000,38041.8,14774.7,7902.3,11978.9,3530.7,15245.679999999998,13432.449022869956
63,30,20000,38041.8,14774.7,7902.3,11978.9,2837.7,15107.079999999998,13586.24220018177
64,95,20500,,,,18042.5,5540.8,11791.65,8840.03684635986
65,31,21000,26874.6,22572.5,14088.9,,,21178.666666666668,6505.813526633954
66,86,21500,,,9904.5,12921.1,,11412.8,2133.05831612734
67,87,22000,,,8918.1,,23457.7,16187.9,10281.049755739929
68,32,22500,37052.9,4338.5,,21677.2,,21022.86666666667,16367.01273670102
69,88,23000,,,16360.7,,6129.4,11245.05,7234.621610353925
70,33,24000,27735.6,,27045.8,15433.1,,23404.83333333333,6912.333561347667
71,54,24500,,13199.8,,,22951.9,18075.85,6895.776040809332
72,34,25000,18332.5,,9716.6,27535.1,,18528.066666666666,8910.859683741704
73,35,25500,9106.9,,16743.3,,20657.5,15502.566666666666,5874.406735435787
74,89,26000,,,9989.2,,,9989.2,
75,55,26500,,25151.9,,40899.9,25853.0,30634.93333333333,8896.630868105822
76,57,27500,,2454.7,,,12660.6,7557.65,7216.661098111786
77,56,27500,,4817.1,,,12660.6,8738.85,5546.192038236685
78,58,28000,,3115.8,,20018.6,,11567.2,11952.084501039972
79,59,28000,,1533.9,,20018.6,,10776.25,13070.656718198974
80,60,28500,,852.0,,,31465.4,16158.7,21646.942735176253
81,61,29000,,1341.6,16216.4,12953.2,10925.8,10359.25,6394.627253927055
82,62,29000,,291.4,16216.4,12953.2,10925.8,10096.7,6890.612823254547
83,63,29000,,111.3,16216.4,12953.2,10925.8,10051.675,6976.098033225068
84,64,29500,,4056.2,,,,4056.2,
85,65,30000,,4579.3,24737.5,18727.9,,16014.9,10349.325270760408
86,66,30500,,6551.8,8753.8,20276.6,,11860.733333333332,7371.045367743528
87,67,31500,,6269.7,18076.9,20273.3,,14873.3,7531.433659005436
88,68,31500,,1644.9,18076.9,20273.3,,13331.700000000004,10180.472185512812
89,69,32000,,2387.7,,,,2387.7,
90,70,32500,,3776.1,,13978.6,,8877.35,7214.256935055751
91,71,33000,,3178.4,25371.1,,,14274.75,15692.608662838693
92,90,33500,,,16612.9,21241.4,,18927.15,3272.843736721936
93,91,34500,,,13170.4,18369.5,,15769.95,3676.3188660669794
94,72,35000,,17295.4,,,,17295.4,
95,92,35500,,,18182.8,16813.7,,17498.25,968.0998941225012
96,73,36000,,17302.3,13358.7,,,15330.5,2788.546302287268
97,96,36500,,,,28363.7,,28363.7,
98,74,37500,,21024.8,,13808.3,,17416.55,5102.836086432721
99,97,38500,,,,21614.9,,21614.9,
100,98,39500,,,,17123.6,,17123.6,
101,99,40000,,,,16722.5,,16722.5,
102,100,42000,,,,18923.3,,18923.3,
103,101,42500,,,,16165.4,,16165.4,
104,102,44000,,,,25697.0,,25697.0,
105,103,45000,,,,21860.3,,21860.3,
106,104,46000,,,,17371.4,,17371.4,
